Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,127.954109,129.770554,127.896751,129.761002,117.832909,10551106
2021-04-12,129.082214,129.416824,124.646271,127.715103,115.975075,28065540
2021-04-19,127.724663,138.374756,126.749519,136.166351,123.649460,49418898
2021-04-26,136.156784,142.198853,134.369019,135.640533,123.171997,26766094
2021-05-03,137.485657,141.978973,137.237091,139.063095,126.279938,33044081
2021-05-10,139.388138,141.854691,134.933075,138.317398,127.006180,28673579
2021-05-17,138.087952,139.388138,134.722748,138.374756,127.058846,21491012
2021-05-24,138.680695,138.996170,136.749527,137.418732,126.181000,19333742
2021-05-31,138.623322,141.061188,137.428299,140.936905,129.411469,13025733
2021-06-07,141.061188,146.118546,140.697891,144.627151,132.799927,23056874
2021-06-14,144.082214,144.388138,136.749527,136.826004,125.636734,24330901
2021-06-21,137.772461,140.602295,137.724670,140.382416,128.902298,17916934
2021-06-28,140.544937,141.013382,133.326965,133.862335,122.915428,30396551
2021-07-05,133.833649,135.736145,131.070740,135.296371,124.232185,22535965
2021-07-12,135.210327,135.717010,132.495224,132.791580,121.932236,19517733
2021-07-19,130.449326,138.546844,130.219879,135.124283,124.074173,36386574
2021-07-26,135.172089,137.323135,134.598465,134.761002,123.740601,16875746
2021-08-02,135.229446,138.336517,134.827911,137.753342,126.488228,17184211
2021-08-09,135.946457,137.265778,134.168259,136.883362,125.689400,19312089
2021-08-16,136.931168,137.418732,131.175903,132.992355,123.522499,16932230
2021-08-23,133.479919,134.608032,132.313583,133.279160,123.788872,12945506
2021-08-30,133.365204,134.741867,132.715103,133.441681,123.939835,13955523
2021-09-06,133.508606,133.642441,130.975143,130.994263,121.666687,14386475
2021-09-13,132.313583,132.877625,129.110901,129.282990,120.077263,21053470
2021-09-20,128.011475,132.390060,126.940727,131.443588,122.084015,19272549
2021-09-27,131.892929,137.638626,130.439774,137.017212,127.260757,24917707
2021-10-04,136.462708,139.579346,134.694077,136.921600,127.171959,28462916
2021-10-11,137.189301,138.479919,133.518158,138.250473,128.406204,17009948
2021-10-18,137.667297,138.565964,121.042068,122.256210,113.550835,62479254
2021-10-25,121.921608,122.992355,119.139580,119.598473,111.082344,35865352
2021-11-01,119.550667,123.769997,118.393883,123.610001,114.808220,30569199
2021-11-08,123.989998,124.779999,118.779999,118.959999,110.489334,29193800
2021-11-15,119.540001,120.160004,115.269997,116.050003,109.224869,24267500
2021-11-22,116.000000,118.809998,114.559998,115.809998,108.998985,17871800
2021-11-29,118.620003,119.610001,116.449997,118.839996,111.850769,36058000
2021-12-06,119.400002,125.330002,119.400002,124.089996,116.792015,25031500
2021-12-13,123.760002,128.639999,120.790001,127.400002,119.907349,35213100
2021-12-20,125.720001,130.960007,124.699997,130.630005,122.947388,17369600
2021-12-27,130.630005,134.990005,129.949997,133.660004,125.799187,18499200
2022-01-03,134.070007,142.199997,132.509995,134.830002,126.900383,36009000
2022-01-10,134.470001,136.199997,127.970001,134.210007,126.316841,32068700
2022-01-17,132.949997,133.899994,129.270004,129.350006,121.742668,20535600
2022-01-24,127.989998,137.339996,124.190002,134.500000,126.589806,52504500
2022-01-31,134.089996,138.820007,132.300003,137.149994,129.083923,27665400
2022-02-07,137.449997,138.350006,132.380005,132.690002,124.886238,23489100
2022-02-14,132.589996,132.649994,123.610001,124.349998,118.446495,26021100
2022-02-21,124.199997,125.000000,118.809998,124.180000,118.284569,20460200
2022-02-28,122.209999,127.349998,120.699997,126.620003,120.608734,26131000
2022-03-07,126.470001,128.350006,123.129997,123.959999,118.075005,23784900
2022-03-14,124.449997,128.929993,122.690002,128.759995,122.647125,22741100
2022-03-21,129.000000,131.399994,127.400002,131.350006,125.114159,15500600
2022-03-28,130.820007,133.080002,128.059998,130.149994,123.971146,19183800
2022-04-04,130.259995,131.229996,126.730003,127.730003,121.666039,16556700
2022-04-11,127.949997,130.580002,124.910004,126.559998,120.551567,15342600
2022-04-18,126.599998,141.880005,125.529999,138.250000,131.686584,47145700
2022-04-25,137.589996,139.869995,132.000000,132.210007,125.933350,24626600
2022-05-02,133.000000,137.990005,130.889999,137.669998,131.134140,27098500
2022-05-09,134.410004,136.350006,128.429993,133.600006,127.257355,31171300
2022-05-16,133.100006,138.369995,125.800003,128.479996,123.864967,27360500
2022-05-23,129.500000,139.740005,129.419998,139.270004,134.267380,19617800
2022-05-30,138.199997,142.580002,136.809998,141.179993,136.108765,19861600
2022-06-06,142.979996,144.729996,135.250000,136.190002,131.298019,18910200
2022-06-13,133.970001,138.449997,132.850006,135.020004,130.170059,34055600
2022-06-20,135.899994,142.369995,135.899994,142.059998,136.957169,23921700
2022-06-27,142.259995,144.160004,139.259995,141.119995,136.050934,21052200
2022-07-04,139.970001,141.320007,135.270004,140.470001,135.424286,16228300
2022-07-11,140.619995,141.869995,135.020004,139.919998,134.894028,21081000
2022-07-18,140.149994,140.309998,125.129997,128.250000,123.643227,66246800
2022-07-25,128.440002,131.000000,127.580002,130.789993,126.091988,22223800
2022-08-01,130.750000,132.860001,130.509995,132.479996,127.721275,17400500
2022-08-08,133.100006,134.089996,129.119995,134.009995,129.196320,17250000
2022-08-15,132.960007,139.339996,132.240005,138.369995,135.080460,17105900
2022-08-22,137.649994,137.850006,130.339996,130.380005,127.280418,16982100
2022-08-29,129.990005,131.419998,127.239998,127.790001,124.751984,15118100
2022-09-05,127.800003,129.490005,126.279999,129.190002,126.118698,12005100
2022-09-12,130.330002,130.990005,123.830002,127.269997,124.244339,27107200
2022-09-19,126.489998,128.059998,121.739998,122.709999,119.792747,19450800
2022-09-26,122.300003,124.260002,118.610001,118.809998,115.985466,22265200
2022-10-03,120.160004,126.459999,118.070000,118.820000,115.995232,21615000
2022-10-10,119.790001,122.540001,115.550003,120.040001,117.186226,22971800
2022-10-17,121.800003,130.850006,121.430000,129.899994,126.811821,37309900
2022-10-24,130.899994,138.860001,129.850006,138.509995,135.217133,26666200
2022-10-31,138.059998,140.169998,133.970001,136.960007,133.703979,22486800
2022-11-07,136.639999,144.130005,136.509995,143.169998,139.766342,25066200
2022-11-14,142.630005,148.309998,142.000000,147.639999,145.848511,22081500
2022-11-21,147.550003,150.460007,146.449997,148.369995,146.569656,16271700
2022-11-28,147.979996,150.009995,145.669998,148.669998,146.866013,20066300
2022-12-05,147.940002,149.149994,146.289993,147.050003,145.265686,15316800
2022-12-12,147.820007,153.210007,138.970001,140.160004,138.459290,33571600
2022-12-19,140.160004,143.089996,137.199997,141.649994,139.931198,19662700
2022-12-26,141.729996,142.809998,139.449997,140.889999,139.180420,10477100
2023-01-02,141.100006,144.250000,140.009995,143.699997,141.956329,13648400
2023-01-09,144.080002,146.660004,142.899994,145.889999,144.119751,14580100
2023-01-16,146.419998,147.179993,139.750000,141.199997,139.486664,21419300
2023-01-23,141.399994,142.990005,132.979996,134.389999,132.759293,43345100
2023-01-30,134.320007,136.949997,132.800003,136.940002,135.278351,27874500
2023-02-06,135.830002,136.740005,133.339996,135.600006,133.954620,22141000
2023-02-13,136.000000,137.389999,133.889999,135.020004,135.020004,16543600
2023-02-20,134.000000,134.389999,128.860001,130.570007,130.570007,14198800
2023-02-27,131.419998,131.869995,127.709999,129.639999,129.639999,17864400
2023-03-06,129.639999,130.860001,125.129997,125.449997,125.449997,20908900
2023-03-13,125.150002,128.190002,121.709999,123.690002,123.690002,66131000
2023-03-20,124.309998,127.220001,122.599998,125.290001,125.290001,20457800
2023-03-27,126.470001,131.479996,126.470001,131.089996,131.089996,20778500
2023-04-03,130.970001,132.610001,130.320007,130.500000,130.500000,13172200
2023-04-06,132.160004,132.600006,130.315002,130.500000,130.500000,2949636
